PropertyName,PropertyAddress,City,SalePrice,Square_Footage,Units,Price_SF,Price_Unit,SaleDate,Buyer,Seller,Link
Margaritaville Hollywood Beach Resort,1111 N Ocean Blvd,Hollywood,"$270,000,000","666,300",369,$405.22,"$731,707",Sep-21,Pebblebrook Hotel Trust,KSL Capital Partners,https://www.bizjournals.com/southflorida/news/2021/06/23/margaritaville-resort-to-sell-for-270m.html
EAST Miami,788 Brickell Plz,Miami,"$174,000,000","536,070",352,$324.58,"$494,318",Oct-21,Trinity Investments,Swire Properties,https://www.bizjournals.com/southflorida/news/2021/11/01/east-miami-hotel-sold.html
Four Seasons,1441 Brickell Ave,Miami,"$130,000,000","263,867",221,$492.67,"$588,235",Jul-21,Fort Partners,Westbrook Partners,https://therealdeal.com/miami/2021/07/15/fort-partners-buys-four-seasons-brickell-hotel-for-130m/
B Ocean Resort,1140 Seabreeze Blvd,Fort Lauderdale,"$126,875,000","368,646",481,$344.16,"$263,773",Oct-21,JV: Rockpoint Group & InSite Group,Carlyle Group,https://www.bizjournals.com/southflorida/news/2021/10/19/b-ocean-resort-in-fort-lauderdale-sold-for-127m.html
The Ben,251 N Narcissuc Ave,West Palm Beach,"$106,400,000","146,746",208,$725.06,"$511,538",Oct-21,Wheelock Street Capital,Concord Hospitality,https://therealdeal.com/miami/2021/10/08/wheelock-pays-106m-for-the-ben-hotel-near-downtown-west-palm-beach/
Celino South Beach,640 Ocean Dr,Miami Beach,"$81,453,800","59,359",132,"$1,372.22","$617,074",Jul-21,CGI Merchant Group,Optimum Asset Management,https://therealdeal.com/miami/2021/08/05/hospitality-fund-that-counts-a-rod-among-investors-buys-renovated-ocean-drive-hotel/
Hotel AKA Brickell,1395 Brickell Ave,Miami,"$75,330,000","212,503",201,$354.49,"$374,776",Oct-21,JV: Electra America & AKA,JV: Mast Capital & Angelo Gordon,https://www.bizjournals.com/southflorida/news/2021/11/08/price-revealed-for-sale-of-conrad-miami-hotel.html
Como Metropolitan Miami Beach,2445 Collins Ave,Miami Beach,"$70,000,000","53,328",74,"$1,312.63","$945,946",Aug-21,JHSF,COMO Hotels and Resorts,https://www.bizjournals.com/southflorida/news/2021/08/30/como-metropolitan-hotel-sold-for-70m.html
Hampton Inn & Suites and AC Hotel by Marriott Midtown Miami,3450 & 3400 Biscayne Blvd,Miami,"$61,000,000","280,000",304,$217.86,"$200,658",Jun-21,TPG Real Estate Partners,3H Group Hotels,https://www.bizjournals.com/southflorida/news/2021/06/10/miami-midtown-hotels-sell-for-61-million.html
Fort Lauderdale Marriott Pompano Beach,1200 N Ocean Blvd,Pompano Beach,"$54,000,000","184,184",219,$293.19,"$246,575",Dec-21,JV: Key International & Wexford Real Estate Investors,Pan Am Equities,https://www.bizjournals.com/southflorida/news/2021/12/02/key-international-wexford-buy-pompano-marriott.html
